id,premises,conclusion,label,caroline_premises,caroline_conclusion,domain_shift_premises,domain_shift_conclusion,ans_orig_zero,ans_caroline_zero,ans_domain_zero,ans_caroline_cot
151,New Vessel Press is a publishing house which specializes in translating foreign literature into English. All of New Vessel Press's published books are in English. Neapolitan Chronicles is a book published by New Vessel Press. Neapolitan Chronicles was translated from Italian. Palace of Flies is a book published by New Vessel Press.,Harry Potter was published by New Vessel Press.,Uncertain,Jubjub is a publishing house which specializes in translating foreign literature into English. All of Tweequ published books are in English. Gyre is a book published by Jubjub. Gyre was translated from Italian. Vorpal is a book published by Jubjub.,Bandersnatch was published by Jubjub.,Neutron is a publishing house which specializes in translating foreign literature into English. All of Chromosome published books are in English. Nebula is a book published by Neutron. Nebula was translated from Italian. Enzyme is a book published by Neutron.,Quark was published by Neutron.,Uncertain,Uncertain,Uncertain,Uncertain
152,New Vessel Press is a publishing house which specializes in translating foreign literature into English. All of New Vessel Press's published books are in English. Neapolitan Chronicles is a book published by New Vessel Press. Neapolitan Chronicles was translated from Italian. Palace of Flies is a book published by New Vessel Press.,Palace of Flies was translated from Italian.,Uncertain,Mome is a publishing house which specializes in translating foreign literature into English. All of Snark published books are in English. Boroogove is a book published by Mome. Boroogove was translated from Italian. Tweequ is a book published by Mome.,Tweequ was translated from Italian.,Electron is a publishing house which specializes in translating foreign literature into English. All of Chromosome published books are in English. Galaxy is a book published by Electron. Galaxy was translated from Italian. Quark is a book published by Electron.,Quark was translated from Italian.,True,True,True,True
153,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy visits the office supply store regularly.,Uncertain,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy visits the office supply store regularly.,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy visits the office supply store regularly.,Uncertain,Uncertain,Uncertain,Uncertain
154,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy has a fully stocked and impressive home office and also visits the office supply store regularly.,False,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy has a fully stocked and impressive home office and also visits the office supply store regularly.,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy has a fully stocked and impressive home office and also visits the office supply store regularly.,Uncertain,Uncertain,Uncertain,Uncertain
155,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ","If Remy either goes to bed late and wakes up every day after noon or visits the office supply store regularly, then Remy neither spends their free time tidying and organizing the spaces in their home nor has a fully stocked and impressive home office.",True,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Vorpal either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ","If Vorpal either goes to bed late and wakes up every day after noon or visits the office supply store regularly, then Vorpal neither spends their free time tidying and organizing the spaces in their home nor has a fully stocked and impressive home office.","If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Mitochondria either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ","If Mitochondria either goes to bed late and wakes up every day after noon or visits the office supply store regularly, then Mitochondria neither spends their free time tidying and organizing the spaces in their home nor has a fully stocked and impressive home office.",Uncertain,Uncertain,Uncertain,Uncertain
156,All humans are mortal. All Greeks are humans.,Some Greeks are mortal.,Uncertain,All humans are mortal. All Greeks are humans.,Some Greeks are mortal.,All humans are mortal. All Greeks are humans.,Some Greeks are mortal.,True,True,True,True
157,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,James has a part-time job offered by the university.,False,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Jabberwock are taking the database course.  All students working in the lab are instructed by professor Jabberwock.  Snark is a student working in the lab.  Tweequ neither has a part-time job offered by the university nor works in the lab. ,Snark has a part-time job offered by the university.,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Galaxy are taking the database course.  All students working in the lab are instructed by professor Galaxy.  Proton is a student working in the lab.  Enzyme neither has a part-time job offered by the university nor works in the lab. ,Proton has a part-time job offered by the university.,Uncertain,Uncertain,Uncertain,Uncertain
158,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,James does not have a part-time job offered by the university.,True,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Gyre are taking the database course.  All students working in the lab are instructed by professor Gyre.  Snark is a student working in the lab.  Vorpal neither has a part-time job offered by the university nor works in the lab. ,Snark does not have a part-time job offered by the university.,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Quark are taking the database course.  All students working in the lab are instructed by professor Quark.  Nebula is a student working in the lab.  Ribosome neither has a part-time job offered by the university nor works in the lab. ,Nebula does not have a part-time job offered by the university.,True,True,True,True
159,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,James either takes the database course or has a part-time job offered by the university.,True,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Mome are taking the database course.  All students working in the lab are instructed by professor Mome.  Jubjub is a student working in the lab.  Tweequ neither has a part-time job offered by the university nor works in the lab. ,Jubjub either takes the database course or has a part-time job offered by the university.,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Neutron are taking the database course.  All students working in the lab are instructed by professor Neutron.  Mitochondria is a student working in the lab.  Enzyme neither has a part-time job offered by the university nor works in the lab. ,Mitochondria either takes the database course or has a part-time job offered by the university.,True,True,Uncertain,Uncertain
160,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,Jack takes the database course.,Uncertain,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Vorpal are taking the database course.  All students working in the lab are instructed by professor Vorpal.  Tumtum is a student working in the lab.  Jubjub neither has a part-time job offered by the university nor works in the lab. ,Jubjub takes the database course.,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Electron are taking the database course.  All students working in the lab are instructed by professor Electron.  Enzyme is a student working in the lab.  Galaxy neither has a part-time job offered by the university nor works in the lab. ,Galaxy takes the database course.,Uncertain,Uncertain,Uncertain,Uncertain
161,"If George likes music, he wants to compose. If George has access to a program, he can compose. If George can compose and wants to compose, he will compose.","If George likes music and has access to a program, he will compose.",True,"If Gyre likes music, he wants to compose. If Gyre has access to a program, he can compose. If Gyre can compose and wants to compose, he will compose.","If Gyre likes music and has access to a program, he will compose.","If Photon likes music, he wants to compose. If Photon has access to a program, he can compose. If Photon can compose and wants to compose, he will compose.","If Photon likes music and has access to a program, he will compose.",True,True,True,True
162,"If George likes music, he wants to compose. If George has access to a program, he can compose. If George can compose and wants to compose, he will compose.","If George will not compose, George can not compose.",Uncertain,"If Mome likes music, he wants to compose. If Mome has access to a program, he can compose. If Mome can compose and wants to compose, he will compose.","If Mome will not compose, Mome can not compose.","If Photon likes music, he wants to compose. If Photon has access to a program, he can compose. If Photon can compose and wants to compose, he will compose.","If Photon will not compose, Photon can not compose.",False,False,Uncertain,Uncertain
163,A hawk never lands.  Some birds are hawks.,All birds land,False,A hawk never lands.  Some birds are hawks.,All birds land,A hawk never lands.  Some birds are hawks.,All birds land,False,False,False,False
164,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Bachelor. Everything on the Bachelor portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Breaking Bad is not a reality TV show.",Breaking Bad is on Monday at 8 pm.,Uncertain,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Jabberwock. Everything on the Jabberwock portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Gyre is not a reality TV show.",Gyre is on Monday at 8 pm.,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Neutron. Everything on the Neutron portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Enzyme is not a reality TV show.",Enzyme is on Monday at 8 pm.,Uncertain,Uncertain,Uncertain,Uncertain
165,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Bachelor. Everything on the Bachelor portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Breaking Bad is not a reality TV show.",Breaking Bad is a TV show in which roses are given out on Monday at 8 pm.,False,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Mome. Everything on the Mome portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Gyre is not a reality TV show.",Gyre is a TV show in which roses are given out on Monday at 8 pm.,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Photon. Everything on the Photon portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Ribosome is not a reality TV show.",Ribosome is a TV show in which roses are given out on Monday at 8 pm.,False,False,False,True
166,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Bachelor. Everything on the Bachelor portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Breaking Bad is not a reality TV show.","If roses are given out during Breaking Bad, then it is on Monday at 8 pm.",True,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Bandersnatch. Everything on the Bandersnatch portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Boroogove is not a reality TV show.","If roses are given out during Boroogove, then it is on Monday at 8 pm.","On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Photon. Everything on the Photon portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Neutron is not a reality TV show.","If roses are given out during Neutron, then it is on Monday at 8 pm.",Uncertain,Uncertain,Uncertain,Uncertain
167,Heinrich Scmidt was a Nazi German politician.  Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.,Heinrich Schmidt was either German or Russian.,True,Heinrich Mome was a Nazi German politician.  Boroogove was also a member of Vorpal and the Nazi Reichstag.,Heinrich Bandersnatch was either German or Russian.,Heinrich Proton was a Nazi German politician.  Enzyme was also a member of Ribosome and the Nazi Reichstag.,Heinrich Electron was either German or Russian.,Uncertain,Uncertain,Uncertain,Uncertain
168,Heinrich Scmidt was a Nazi German politician.  Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.,Some Nazi German politician was part of both the Prussian State Parliament and the Nazi Reichstag.,True,Heinrich Rath was a Nazi German politician.  Vorpal was also a member of Gyre and the Nazi Reichstag.,Some Nazi German politician was part of both Gyre and the Nazi Reichstag.,Heinrich Galaxy was a Nazi German politician.  Nebula was also a member of Mitochondria and the Nazi Reichstag.,Some Nazi German politician was part of both Mitochondria and the Nazi Reichstag.,True,True,True,True
169,Heinrich Scmidt was a Nazi German politician.  Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.,No politicans are part of the Nazi Reichstag.,False,Heinrich Snark was a Nazi German politician.  Boroogove was also a member of Tweequ and the Nazi Reichstag.,No politicans are part of the Nazi Reichstag.,Heinrich Quark was a Nazi German politician.  Electron was also a member of Photon and the Nazi Reichstag.,No politicans are part of the Nazi Reichstag.,False,False,False,False
170,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Cholangiocarcinoma is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.",Colorectal cancer is a severe cancer,Uncertain,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Jubjub is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.",Colorectal cancer is a severe cancer,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Neutron is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.",Colorectal cancer is a severe cancer,True,True,True,Uncertain
171,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Cholangiocarcinoma is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is a bile duct cancer or a Cholangiocarcinoma, then colorectal cancer is a bile duct cancer and a mild flu.",True,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Rath is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is a bile duct cancer or a Rath, then colorectal cancer is a bile duct cancer and a mild flu.","If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Quark is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is a bile duct cancer or a Quark, then colorectal cancer is a bile duct cancer and a mild flu.",Uncertain,Uncertain,Uncertain,Uncertain
172,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Cholangiocarcinoma is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is not a mild flu and a Cholangiocarcinoma, then colorectal cancer is a bile duct cancer or a Cholangiocarcinoma.",False,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Jubjub is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is not a mild flu and a Jubjub, then colorectal cancer is a bile duct cancer or a Jubjub.","If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Neutron is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is not a mild flu and a Neutron, then colorectal cancer is a bile duct cancer or a Neutron.",Uncertain,Uncertain,Uncertain,True
173,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Taylor eats salads regularly.,Uncertain,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Vorpal grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Vorpal neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Vorpal eats salads regularly.,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Proton grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Proton neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Proton eats salads regularly.,Uncertain,Uncertain,Uncertain,Uncertain
174,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Taylor visits the gym at least once a day.,False,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Tweequ grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Tweequ neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Tweequ visits the gym at least once a day.,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Photon grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Photon neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Photon visits the gym at least once a day.,Uncertain,Uncertain,Uncertain,Uncertain
175,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Taylor neither grew up in a health-conscious childhood home nor does she visit the gym at least once a day.,True,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Bandersnatch grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Bandersnatch neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Bandersnatch neither grew up in a health-conscious childhood home nor does she visit the gym at least once a day.,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Proton grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Proton neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Proton neither grew up in a health-conscious childhood home nor does she visit the gym at least once a day.,Uncertain,Uncertain,Uncertain,Uncertain
176,[BG] The Olympic games is a sporting event.  The last Olympic games was in Tokyo. The United States won the most medals in Tokyo. ,The world championships is a sporting event.,Uncertain,[BG] The Olympic games is a sporting event.  The last Olympic games was in Mome. Tweequ won the most medals in Mome. ,The world championships is a sporting event.,[BG] The Olympic games is a sporting event.  The last Olympic games was in Enzyme. Quark won the most medals in Enzyme. ,The world championships is a sporting event.,Uncertain,Uncertain,Uncertain,True
177,[BG] The Olympic games is a sporting event.  The last Olympic games was in Tokyo. The United States won the most medals in Tokyo. ,The last Olympic games were not in Tokyo.,False,[BG] The Olympic games is a sporting event.  The last Olympic games was in Vorpal. Rath won the most medals in Vorpal. ,The last Olympic games were not in Vorpal.,[BG] The Olympic games is a sporting event.  The last Olympic games was in Ribosome. Neutron won the most medals in Ribosome. ,The last Olympic games were not in Ribosome.,False,False,False,True
178,[BG] The Olympic games is a sporting event.  The last Olympic games was in Tokyo. The United States won the most medals in Tokyo. ,The United States won the most medals in the last Olympic games.,True,[BG] The Olympic games is a sporting event.  The last Olympic games was in Vorpal. Mome won the most medals in Vorpal. ,Mome won the most medals in the last Olympic games.,[BG] The Olympic games is a sporting event.  The last Olympic games was in Quark. Electron won the most medals in Quark. ,Electron won the most medals in the last Olympic games.,True,True,True,True
179,All horses have hooves. No humans have hooves.,Some humans are horses.,False,All horses have hooves. No humans have hooves.,Some humans are horses.,All horses have hooves. No humans have hooves.,Some humans are horses.,False,False,False,False
180,Susan flies to LGA airport. The departure and arrival can not be the same airport. John flies from LGA airport.,Susan flies from LGA airport.,False,Rath flies to Bandersnatch. The departure and arrival can not be the same airport. Jabberwock flies from Bandersnatch.,Rath flies from Bandersnatch.,Enzyme flies to Mitochondria. The departure and arrival can not be the same airport. Ribosome flies from Mitochondria.,Enzyme flies from Mitochondria.,Uncertain,True,Uncertain,True
181,Susan flies to LGA airport. The departure and arrival can not be the same airport. John flies from LGA airport.,John flies to LGA airport.,False,Gyre flies to Rath. The departure and arrival can not be the same airport. Boroogove flies from Rath.,Boroogove flies to Rath.,Mitochondria flies to Quark. The departure and arrival can not be the same airport. Neutron flies from Quark.,Neutron flies to Quark.,False,True,True,True
182,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Tom is a pet owner.",Tom is a grumpy person.,Uncertain,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Jubjub is a pet owner.",Jubjub is a grumpy person.,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Neutron is a pet owner.",Neutron is a grumpy person.,False,False,False,False
183,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Tom is a pet owner.",Tom is not a grumpy person and mean to animals.,True,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Boroogove is a pet owner.",Boroogove is not a grumpy person and mean to animals.,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Enzyme is a pet owner.",Enzyme is not a grumpy person and mean to animals.,True,True,True,Uncertain
184,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Tom is a pet owner.","If Tom is not a grumpy person and mean to animals, then Tom is neither a grumpy person nor an Animal Lover.",False,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Vorpal is a pet owner.","If Vorpal is not a grumpy person and mean to animals, then Vorpal is neither a grumpy person nor an Tweequ.","No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Nebula is a pet owner.","If Nebula is not a grumpy person and mean to animals, then Nebula is neither a grumpy person nor an Quark.",True,True,True,Uncertain
