id,premises,conclusion,label,caroline_premises,caroline_conclusion,shuffled_premises,llm_answer_original,llm_answer_caroline
152,New Vessel Press is a publishing house which specializes in translating foreign literature into English. All of New Vessel Press's published books are in English. Neapolitan Chronicles is a book published by New Vessel Press. Neapolitan Chronicles was translated from Italian. Palace of Flies is a book published by New Vessel Press.,Palace of Flies was translated from Italian.,Uncertain,Jubjub is a publishing house which specializes in translating foreign literature into English. All of Snark published books are in English. Rath is a book published by Jubjub. Rath was translated from Italian. Tumtum is a book published by Jubjub.,Jabberwock was translated from Italian.,"Palace of Flies is a book published by New Vessel Press.
Neapolitan Chronicles was translated from Italian.
All of New Vessel Press's published books are in English.
New Vessel Press is a publishing house which specializes in translating foreign literature into English.
Neapolitan Chronicles is a book published by New Vessel Press.",Uncertain,Uncertain
153,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy visits the office supply store regularly.,Uncertain,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy visits the office supply store regularly.,"All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes.
Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home.
All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home.
If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.
If people own a large desktop monitor at their home, then they work regularly and often at home.
All people who work regularly and often at home visit the office supply store regularly.",False,False
154,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy has a fully stocked and impressive home office and also visits the office supply store regularly.,False,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ",Remy has a fully stocked and impressive home office and also visits the office supply store regularly.,"All people who work regularly and often at home visit the office supply store regularly.
Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home.
If people own a large desktop monitor at their home, then they work regularly and often at home.
If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.
All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home.
All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes.",False,False
155,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ","If Remy either goes to bed late and wakes up every day after noon or visits the office supply store regularly, then Remy neither spends their free time tidying and organizing the spaces in their home nor has a fully stocked and impressive home office.",True,"If people own a large desktop monitor at their home, then they work regularly and often at home. All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home. All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes. All people who work regularly and often at home visit the office supply store regularly. If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.  Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home. ","If Snark either goes to bed late and wakes up every day after noon or visits the office supply store regularly, then Snark neither spends their free time tidying and organizing the spaces in their home nor has a fully stocked and impressive home office.","If people spend their free time tidying and organizing the spaces in their home, then they do not go to bed late and wake up every day after noon.
All people who work regularly and often at home visit the office supply store regularly.
All people who have a fully stocked and impressive home office are people who own a large desktop monitor at their home.
All people who work regularly and often at home spend their free time tidying and organizing the spaces in their homes.
Remy either both goes to bed late and wakes up every day after noon and spends their free time tidying and organizing the spaces in their home, or they do not go to bed late and wake up every day after noon nor spend their free time tidying and organizing the spaces in their home.
If people own a large desktop monitor at their home, then they work regularly and often at home.",True,True
156,All humans are mortal. All Greeks are humans.,Some Greeks are mortal.,Uncertain,All humans are mortal. All Greeks are humans.,Some Greeks are mortal.,"All humans are mortal.
All Greeks are humans.",True,True
157,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,James has a part-time job offered by the university.,False,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Boroogove are taking the database course.  All students working in the lab are instructed by professor Boroogove.  Snark is a student working in the lab.  Tweequ neither has a part-time job offered by the university nor works in the lab. ,Mome has a part-time job offered by the university.,"Jack neither has a part-time job offered by the university nor works in the lab.
All students working in the lab are instructed by professor David.
James is a student working in the lab.
All students who take the database course are from the computer science department.
No students who work in the library are from the computer science department.
All students instructed by professor David are taking the database course.
All students who have part-time jobs offered by the university are students who work in the library.",False,False
158,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,James does not have a part-time job offered by the university.,True,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Tumtum are taking the database course.  All students working in the lab are instructed by professor Tumtum.  Jubjub is a student working in the lab.  Snark neither has a part-time job offered by the university nor works in the lab. ,Jubjub does not have a part-time job offered by the university.,"James is a student working in the lab.
All students instructed by professor David are taking the database course.
All students working in the lab are instructed by professor David.
All students who have part-time jobs offered by the university are students who work in the library.
No students who work in the library are from the computer science department.
Jack neither has a part-time job offered by the university nor works in the lab.
All students who take the database course are from the computer science department.",True,True
159,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,James either takes the database course or has a part-time job offered by the university.,True,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Snark are taking the database course.  All students working in the lab are instructed by professor Snark.  Tweequ is a student working in the lab.  Gyre neither has a part-time job offered by the university nor works in the lab. ,Jabberwock either takes the database course or has a part-time job offered by the university.,"All students instructed by professor David are taking the database course.
Jack neither has a part-time job offered by the university nor works in the lab.
No students who work in the library are from the computer science department.
James is a student working in the lab.
All students who have part-time jobs offered by the university are students who work in the library.
All students who take the database course are from the computer science department.
All students working in the lab are instructed by professor David.",True,Uncertain
160,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor David are taking the database course.  All students working in the lab are instructed by professor David.  James is a student working in the lab.  Jack neither has a part-time job offered by the university nor works in the lab. ,Jack takes the database course.,Uncertain,No students who work in the library are from the computer science department.  All students who have part-time jobs offered by the university are students who work in the library.  All students who take the database course are from the computer science department.  All students instructed by professor Tumtum are taking the database course.  All students working in the lab are instructed by professor Tumtum.  Bandersnatch is a student working in the lab.  Tweequ neither has a part-time job offered by the university nor works in the lab. ,Rath takes the database course.,"No students who work in the library are from the computer science department.
All students working in the lab are instructed by professor David.
All students who have part-time jobs offered by the university are students who work in the library.
James is a student working in the lab.
All students who take the database course are from the computer science department.
All students instructed by professor David are taking the database course.
Jack neither has a part-time job offered by the university nor works in the lab.",False,Uncertain
161,"If George likes music, he wants to compose. If George has access to a program, he can compose. If George can compose and wants to compose, he will compose.","If George likes music and has access to a program, he will compose.",True,"If Jubjub likes music, he wants to compose. If Jubjub has access to a program, he can compose. If Jubjub can compose and wants to compose, he will compose.","If Tumtum likes music and has access to a program, he will compose.","If George likes music, he wants to compose.
If George can compose and wants to compose, he will compose.
If George has access to a program, he can compose.",True,Uncertain
162,"If George likes music, he wants to compose. If George has access to a program, he can compose. If George can compose and wants to compose, he will compose.","If George will not compose, George can not compose.",Uncertain,"If Jubjub likes music, he wants to compose. If Jubjub has access to a program, he can compose. If Jubjub can compose and wants to compose, he will compose.","If Mome will not compose, Mome can not compose.","If George can compose and wants to compose, he will compose.
If George likes music, he wants to compose.
If George has access to a program, he can compose.",True,Uncertain
163,A hawk never lands.  Some birds are hawks.,All birds land,False,A hawk never lands.  Some birds are hawks.,All birds land,"A hawk never lands.
Some birds are hawks.",False,False
164,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Bachelor. Everything on the Bachelor portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Breaking Bad is not a reality TV show.",Breaking Bad is on Monday at 8 pm.,Uncertain,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Snark. Everything on the Snark portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Jabberwock is not a reality TV show.",Snark is on Monday at 8 pm.,"On some Mondays at 8 pm, roses are given out on TV.
All shows portraying the lives of real people are reality TV shows.
Everything on the Bachelor portrays the lives of real people.
Every rose given out on TV is on the Bachelor.
Breaking Bad is not a reality TV show.",False,Uncertain
165,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Bachelor. Everything on the Bachelor portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Breaking Bad is not a reality TV show.",Breaking Bad is a TV show in which roses are given out on Monday at 8 pm.,False,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Mome. Everything on the Mome portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Jabberwock is not a reality TV show.",Gyre is a TV show in which roses are given out on Monday at 8 pm.,"On some Mondays at 8 pm, roses are given out on TV.
Everything on the Bachelor portrays the lives of real people.
All shows portraying the lives of real people are reality TV shows.
Every rose given out on TV is on the Bachelor.
Breaking Bad is not a reality TV show.",False,Uncertain
166,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Bachelor. Everything on the Bachelor portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Breaking Bad is not a reality TV show.","If roses are given out during Breaking Bad, then it is on Monday at 8 pm.",True,"On some Mondays at 8 pm, roses are given out on TV. Every rose given out on TV is on the Jubjub. Everything on the Jubjub portrays the lives of real people. All shows portraying the lives of real people are reality TV shows. Tumtum is not a reality TV show.","If roses are given out during Breaking Bad, then it is on Monday at 8 pm.","All shows portraying the lives of real people are reality TV shows.
Every rose given out on TV is on the Bachelor.
On some Mondays at 8 pm, roses are given out on TV.
Everything on the Bachelor portrays the lives of real people.
Breaking Bad is not a reality TV show.",False,Uncertain
167,Heinrich Scmidt was a Nazi German politician.  Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.,Heinrich Schmidt was either German or Russian.,True,Heinrich Boroogove was a Nazi German politician.  Snark was also a member of Tumtum and the Nazi Reichstag.,Heinrich Boroogove was either German or Russian.,"Heinrich Scmidt was a Nazi German politician.
Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.",False,Uncertain
168,Heinrich Scmidt was a Nazi German politician.  Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.,Some Nazi German politician was part of both the Prussian State Parliament and the Nazi Reichstag.,True,Heinrich Snark was a Nazi German politician.  Boroogove was also a member of Mome and the Nazi Reichstag.,Some Nazi German politician was part of both Snark and the Nazi Reichstag.,"Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.
Heinrich Scmidt was a Nazi German politician.",True,False
169,Heinrich Scmidt was a Nazi German politician.  Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.,No politicans are part of the Nazi Reichstag.,False,Heinrich Jabberwock was a Nazi German politician.  Boroogove was also a member of Snark and the Nazi Reichstag.,No politicans are part of the Nazi Reichstag.,"Heinrich Scmidt was a Nazi German politician.
Heeinrich Scmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.",False,False
170,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Cholangiocarcinoma is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.",Colorectal cancer is a severe cancer,Uncertain,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Jabberwock is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.",Colorectal cancer is a severe cancer,"All severe cancers are deadly diseases.
If something is a deadly disease, then its survival rate is low.
All Cholangiocarcinoma is bile duct cancer.
No one with mild flu has a low survival rate.
If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.
Bile duct cancer is a severe cancer.",Uncertain,Uncertain
171,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Cholangiocarcinoma is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is a bile duct cancer or a Cholangiocarcinoma, then colorectal cancer is a bile duct cancer and a mild flu.",True,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Tweequ is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is a bile duct cancer or a Boroogove, then colorectal cancer is a bile duct cancer and a mild flu.","All Cholangiocarcinoma is bile duct cancer.
No one with mild flu has a low survival rate.
If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.
All severe cancers are deadly diseases.
If something is a deadly disease, then its survival rate is low.
Bile duct cancer is a severe cancer.",False,False
172,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Cholangiocarcinoma is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is not a mild flu and a Cholangiocarcinoma, then colorectal cancer is a bile duct cancer or a Cholangiocarcinoma.",False,"If something is a deadly disease, then its survival rate is low.  All severe cancers are deadly diseases. Bile duct cancer is a severe cancer.  All Tweequ is bile duct cancer. No one with mild flu has a low survival rate. If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.","If colorectal cancer is not a mild flu and a Tweequ, then colorectal cancer is a bile duct cancer or a Tweequ.","All Cholangiocarcinoma is bile duct cancer.
All severe cancers are deadly diseases.
No one with mild flu has a low survival rate.
Bile duct cancer is a severe cancer.
If something is a deadly disease, then its survival rate is low.
If colorectal cancer is a bile duct cancer and the survival rate is low, then colorectal cancer is not a bile duct cancer.",True,True
173,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Taylor eats salads regularly.,Uncertain,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Rath grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Rath neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Snark eats salads regularly.,"If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes.
It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.
If people have good relationships with their parents, then they fulfill their nutritional daily intakes.
All people who grew up in health-conscious childhood homes eat salads regularly.
All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes.
If people have good relationships with their parents, then they do not eat salads regularly.
All people who eat salads regularly are very conscious about their health and eating habits.",False,Uncertain
174,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Taylor visits the gym at least once a day.,False,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Bandersnatch grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Bandersnatch neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Rath visits the gym at least once a day.,"It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.
If people have good relationships with their parents, then they fulfill their nutritional daily intakes.
If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes.
All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes.
All people who grew up in health-conscious childhood homes eat salads regularly.
If people have good relationships with their parents, then they do not eat salads regularly.
All people who eat salads regularly are very conscious about their health and eating habits.",False,Uncertain
175,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Taylor neither grew up in a health-conscious childhood home nor does she visit the gym at least once a day.,True,"All people who eat salads regularly are very conscious about their health and eating habits. All people who grew up in health-conscious childhood homes eat salads regularly. All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes. If people have good relationships with their parents, then they fulfill their nutritional daily intakes. If people have good relationships with their parents, then they do not eat salads regularly. If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes. It is either both true that Boroogove grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Boroogove neither grew up in a health-conscious childhood home nor has a good relationship with her parents.",Rath neither grew up in a health-conscious childhood home nor does she visit the gym at least once a day.,"If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes.
It is either both true that Taylor grew up in a health-conscious childhood home and she has a good relationship with her parents, or it is true that Taylor neither grew up in a health-conscious childhood home nor has a good relationship with her parents.
If people have good relationships with their parents, then they fulfill their nutritional daily intakes.
All people who eat salads regularly are very conscious about their health and eating habits.
If people have good relationships with their parents, then they do not eat salads regularly.
All people who grew up in health-conscious childhood homes eat salads regularly.
All people who fulfill their nutritional daily intakes grew up in health-conscious childhood homes.",False,Uncertain
176,[BG] The Olympic games is a sporting event.  The last Olympic games was in Tokyo. The United States won the most medals in Tokyo. ,The world championships is a sporting event.,Uncertain,[BG] The Olympic games is a sporting event.  The last Olympic games was in Boroogove. Tweequ won the most medals in Boroogove. ,The world championships is a sporting event.,"The last Olympic games was in Tokyo.
[BG] The Olympic games is a sporting event.
The United States won the most medals in Tokyo.",False,False
177,[BG] The Olympic games is a sporting event.  The last Olympic games was in Tokyo. The United States won the most medals in Tokyo. ,The last Olympic games were not in Tokyo.,False,[BG] The Olympic games is a sporting event.  The last Olympic games was in Tumtum. Boroogove won the most medals in Tumtum. ,The last Olympic games were not in Rath.,"The United States won the most medals in Tokyo.
The last Olympic games was in Tokyo.
[BG] The Olympic games is a sporting event.",False,False
178,[BG] The Olympic games is a sporting event.  The last Olympic games was in Tokyo. The United States won the most medals in Tokyo. ,The United States won the most medals in the last Olympic games.,True,[BG] The Olympic games is a sporting event.  The last Olympic games was in Boroogove. Bandersnatch won the most medals in Boroogove. ,Gyre won the most medals in the last Olympic games.,"The United States won the most medals in Tokyo.
[BG] The Olympic games is a sporting event.
The last Olympic games was in Tokyo.",True,False
179,All horses have hooves. No humans have hooves.,Some humans are horses.,False,All horses have hooves. No humans have hooves.,Some humans are horses.,"No humans have hooves.
All horses have hooves.",False,False
180,Susan flies to LGA airport. The departure and arrival can not be the same airport. John flies from LGA airport.,Susan flies from LGA airport.,False,Jabberwock flies to Snark. The departure and arrival can not be the same airport. Tumtum flies from Snark.,Bandersnatch flies from Boroogove.,"Susan flies to LGA airport.
The departure and arrival can not be the same airport.
John flies from LGA airport.",False,Uncertain
181,Susan flies to LGA airport. The departure and arrival can not be the same airport. John flies from LGA airport.,John flies to LGA airport.,False,Mome flies to Tweequ. The departure and arrival can not be the same airport. Rath flies from Tweequ.,Boroogove flies to Bandersnatch airport.,"Susan flies to LGA airport.
John flies from LGA airport.
The departure and arrival can not be the same airport.",False,Uncertain
182,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Tom is a pet owner.",Tom is a grumpy person.,Uncertain,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Jabberwock is a pet owner.",Mome is a grumpy person.,"Some grumpy people are mean to animals.
All animal lovers are nice to animals.
No one nice to animals is mean to animals.
Tom is a pet owner.
If someone owns a pet, then they love animals.",Uncertain,Uncertain
183,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Tom is a pet owner.",Tom is not a grumpy person and mean to animals.,True,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Snark is a pet owner.",Snark is not a grumpy person and mean to animals.,"All animal lovers are nice to animals.
If someone owns a pet, then they love animals.
Some grumpy people are mean to animals.
No one nice to animals is mean to animals.
Tom is a pet owner.",True,True
184,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Tom is a pet owner.","If Tom is not a grumpy person and mean to animals, then Tom is neither a grumpy person nor an Animal Lover.",False,"No one nice to animals is mean to animals. Some grumpy people are mean to animals. All animal lovers are nice to animals. If someone owns a pet, then they love animals. Jabberwock is a pet owner.","If Rath is not a grumpy person and mean to animals, then Rath is neither a grumpy person nor an Boroogove.","All animal lovers are nice to animals.
If someone owns a pet, then they love animals.
Tom is a pet owner.
Some grumpy people are mean to animals.
No one nice to animals is mean to animals.",True,Uncertain
185,"A podcast is not a novel. [BG] If a person is born in American City, the person is American. [BG] If a book is novel and it is written by a person, then the person is a novel writer. Dani Shapiro is an American writer. Family History is written by Dani Shapiro. Family History is a novel written in 2003. Dani Shapiro created a podcast called Family Secrets. [BG] Boston is an American city.",Dani Shapiro is a novel writer.,True,"A podcast is not a novel. [BG] If a person is born in Tumtum, the person is American. [BG] If a book is novel and it is written by a person, then the person is a novel writer. Jubjub is an American writer. Jabberwock is written by Jubjub. Jabberwock is a novel written in 2003. Jubjub created a podcast called Family Secrets. [Mome is an American city.",Tweequ is a novel writer.,"[BG] If a book is novel and it is written by a person, then the person is a novel writer.
[BG] Boston is an American city.
Dani Shapiro created a podcast called Family Secrets.
Family History is a novel written in 2003.
Dani Shapiro is an American writer.
A podcast is not a novel.
[BG] If a person is born in American City, the person is American.
Family History is written by Dani Shapiro.",True,Uncertain
186,"A podcast is not a novel. [BG] If a person is born in American City, the person is American. [BG] If a book is novel and it is written by a person, then the person is a novel writer. Dani Shapiro is an American writer. Family History is written by Dani Shapiro. Family History is a novel written in 2003. Dani Shapiro created a podcast called Family Secrets. [BG] Boston is an American city.",Family Secrets is a novel.,False,"A podcast is not a novel. [BG] If a person is born in Snark, the person is American. [BG] If a book is novel and it is written by a person, then the person is a novel writer. Rath is an American writer. Mome is written by Rath. Mome is a novel written in 2003. Rath created a podcast called Family Secrets. [Gyre is an American city.",Family Secrets is a novel.,"A podcast is not a novel.
[BG] Boston is an American city.
Family History is written by Dani Shapiro.
Family History is a novel written in 2003.
Dani Shapiro is an American writer.
Dani Shapiro created a podcast called Family Secrets.
[BG] If a book is novel and it is written by a person, then the person is a novel writer.
[BG] If a person is born in American City, the person is American.",True,False
187,"A podcast is not a novel. [BG] If a person is born in American City, the person is American. [BG] If a book is novel and it is written by a person, then the person is a novel writer. Dani Shapiro is an American writer. Family History is written by Dani Shapiro. Family History is a novel written in 2003. Dani Shapiro created a podcast called Family Secrets. [BG] Boston is an American city.",Dani Shapiro was born in Boston.,Uncertain,"A podcast is not a novel. [BG] If a person is born in Boroogove, the person is American. [BG] If a book is novel and it is written by a person, then the person is a novel writer. Gyre is an American writer. Jabberwock is written by Gyre. Jabberwock is a novel written in 2003. Gyre created a podcast called Family Secrets. [Mome is an American city.",Boroogove was born in Jabberwock.,"Dani Shapiro created a podcast called Family Secrets.
[BG] Boston is an American city.
Dani Shapiro is an American writer.
A podcast is not a novel.
[BG] If a person is born in American City, the person is American.
Family History is a novel written in 2003.
Family History is written by Dani Shapiro.
[BG] If a book is novel and it is written by a person, then the person is a novel writer.",Uncertain,False
